회사명,거래소코드,회계년도,이익잉여금(결손금)(*)(IFRS)(천원),법인세비용차감전순이익(손실)(IFRS연결)(천원),자산(*)(IFRS연결)(천원),부채(*)(IFRS연결)(천원),매출액(수익)(*)(IFRS연결)(천원),합계_기말인원(명),PER(최고)(IFRS),PER(최저)(IFRS),PBR(최고)(IFRS),PBR(최저)(IFRS),종가(원)
(주)강스템바이오텍,217730,2019/12,-76692655,-26302209,113643697,44924460,6004584,102,0,0,7.28,2.21,8140
(주)강원랜드,035250,2010/12,2018963086,561472358,2609098339,509887802,1313788411,3079,15.46,7.44,3.52,1.69,27950
(주)강원랜드,035250,2011/12,2210112744,499670551,2711401782,454039086,1265686425,3145,17.32,12.62,3.25,2.37,27200
(주)강원랜드,035250,2012/12,2320908747,407079978,2906655321,534628331,1296191223,3184,23.02,16.09,3.06,2.14,29250
(주)강원랜드,035250,2013/12,2462643422,393813133,3102036846,584340350,1361286598,3657,27,18.79,3.33,2.32,30950
(주)강원랜드,035250,2014/12,2653050588,495934958,3375127289,669769805,1496541441,3591,21.64,16.41,3.09,2.35,30400
(주)강원랜드,035250,2015/12,2935190481,593883380,3690791830,693036625,1633716839,3620,22.81,14.81,3.51,2.28,38400
(주)강원랜드,035250,2016/12,3190486206,596860541,3978987574,726260115,1696532511,3629,20.97,16.62,3.13,2.48,35750
(주)강원랜드,035250,2017/12,3438537799,566194225,4185657487,684421554,1604470055,3693,19.36,15.86,2.56,2.1,34800
(주)강원랜드,035250,2018/12,3524200677,410687883,4231241354,644464265,1438059299,5194,24.65,18.2,2.15,1.59,32000
(주)강원랜드,035250,2019/12,3656181144,488924925,4438119306,720360229,1520080449,5147,22.02,17.63,2.09,1.67,29600
(주)강원에너지,114190,2010/11,10780025,,,,,82,29.33,11.67,2.61,1.04,4345
(주)강원에너지,114190,2011/11,16553532,,,,,94,5,2.91,1.23,0.72,4530
(주)강원에너지,114190,2012/12,25687359,,,,,101,11.63,4.49,3.02,1.17,4405
(주)강원에너지,114190,2013/12,28976226,,,,,112,14.4,6.93,1.27,0.61,2205
(주)강원에너지,114190,2014/12,29719415,,,,,147,60.48,25.95,1.39,0.6,2105
(주)강원에너지,114190,2015/12,30605199,200281,85457457,28873556,46188664,133,89.54,35.13,1.49,0.58,2870
(주)강원에너지,114190,2016/12,29843141,604815,77186606,22097916,42287473,126,0,0,1.15,0.68,2740
(주)강원에너지,114190,2017/12,23551834,-7385563,93179394,44876384,82034829,137,0,0,1.2,0.79,2490
(주)강원에너지,114190,2018/12,26310725,2522115,93845576,43641869,85905365,119,53.76,17.66,2.19,0.72,2740
(주)강원에너지,114190,2019/12,-7611776,-34788362,56602063,35477506,42549622,107,0,0,3.77,1.41,3810
(주)갤럭시아에스엠,011420,2010/12,-4919791,373799,38135510,14820702,56624254,33,81.39,25.61,8.6,2.71,1990
(주)갤럭시아에스엠,011420,2011/12,-1919048,4420394,45110356,19836339,47331427,37,21.94,9.15,5.08,2.12,1715
(주)갤럭시아에스엠,011420,2012/12,-1695238,851809,43979072,18071820,55049732,40,267.41,127.13,3.12,1.48,1600
(주)갤럭시아에스엠,011420,2013/12,-3115583,-1541398,37636664,16143563,46437304,50,0,0,2.44,1.58,1880
(주)갤럭시아에스엠,011420,2014/12,-4046690,-138222,45274078,22068570,43885894,63,0,0,3.78,1.6,1680
(주)갤럭시아에스엠,011420,2015/12,-1470788,2605510,68686992,18947950,62472754,93,41.12,13.89,2.23,0.75,3455
(주)갤럭시아에스엠,011420,2016/12,-4050954,-1782695,58444606,13597774,52626331,107,0,0,2.34,1.03,2125
(주)갤럭시아에스엠,011420,2017/12,-9950692,-6534286,49831109,9336773,37281280,126,0,0,2.63,1.43,2935
(주)갤럭시아에스엠,011420,2018/12,-25628777,-15457229,33253331,6781168,22060413,111,0,0,3.72,1.31,1660
