,회사명,회계년도,거래소코드,발행주식의 총수 (현재 발행한 주식수 - 현재 감소한 주식수)
524,(주)나노트로닉스,2011/12,10670,12578175.0
525,(주)나노트로닉스,2012/12,10670,13940225.0
526,(주)나래나노텍,2010/12,137080,
527,(주)나래나노텍,2011/12,137080,
528,(주)나래나노텍,2012/12,137080,
529,(주)나래나노텍,2013/12,137080,
530,(주)나래나노텍,2014/12,137080,
531,(주)나래나노텍,2015/12,137080,
532,(주)나래나노텍,2016/12,137080,
533,(주)나래나노텍,2017/12,137080,
534,(주)나래나노텍,2018/12,137080,
535,(주)나래나노텍,2019/12,137080,
536,(주)나무가,2010/12,190510,
537,(주)나무가,2011/12,190510,
538,(주)나무가,2012/12,190510,
539,(주)나무가,2013/12,190510,
540,(주)나무가,2014/12,190510,
541,(주)나무가,2015/12,190510,3336441.0
542,(주)나무가,2016/12,190510,3384113.0
543,(주)나무가,2017/12,190510,3420798.0
544,(주)나무가,2018/12,190510,3430020.0
545,(주)나무가,2019/12,190510,3434185.0
546,(주)나스미디어,2010/12,89600,
547,(주)나스미디어,2011/12,89600,
548,(주)나스미디어,2012/12,89600,
549,(주)나스미디어,2013/12,89600,8246432.0
550,(주)나스미디어,2014/12,89600,8246432.0
551,(주)나스미디어,2015/12,89600,8246432.0
552,(주)나스미디어,2016/12,89600,8754691.0
553,(주)나스미디어,2017/12,89600,8754691.0
554,(주)나스미디어,2018/12,89600,8754691.0
