회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS연결)(천원),자산(*)(IFRS연결)(천원),당기순이익(손실)(IFRS연결)(천원),계속영업이익(손실)(IFRS연결)(천원),유동자산(*)(IFRS연결)(천원),유형자산(*)(IFRS연결)(천원)
(주)경동나비엔,009450,2017/12,684660958,503697210,27019124,27019124,230894567,221945791
(주)경동나비엔,009450,2018/12,726741615,583595818,24748538,24748538,287001959,248979361
(주)경동나비엔,009450,2019/12,774290704,609808343,27852090,27852090,274279157,278770581
(주)경동도시가스,267290,2017/12,871548284,710280194,17798556,17798556,376858740,316816604
(주)경동도시가스,267290,2018/12,1606531867,778269612,34164798,34164798,444232799,320713747
(주)경동도시가스,267290,2019/12,1422707835,749999474,24638348,24638348,395154174,325975219
(주)경동인베스트,012320,2010/12,1360542926,819480663,42209499,42209499,445846545,277970054
(주)경동인베스트,012320,2011/12,1847666903,1001490869,30327559,30327559,610411619,302120078
(주)경동인베스트,012320,2012/12,2502642394,1209924561,42879202,42879202,814034002,302039515
(주)경동인베스트,012320,2013/12,2788264380,1205008353,49841905,49841905,778164231,322577481
(주)경동인베스트,012320,2014/12,2603059058,1320789066,75930406,75930406,766552554,436240540
(주)경동인베스트,012320,2015/12,1604168482,1167819522,-21251390,-21251390,571798491,478535233
(주)경동인베스트,012320,2016/12,1181902637,1126122628,19132415,15258620,508994824,490371394
(주)경동인베스트,012320,2017/12,195069859,599276331,51930860,42162770,238339688,177264156
(주)경동인베스트,012320,2018/12,228644016,592002536,29827973,29827973,188460289,176391871
(주)경동인베스트,012320,2019/12,271765025,605467383,8856009,8856009,236475693,170491064
(주)경방,000050,2010/12,339355972,1328917440,20060632,20060632,113238016,299311662
(주)경방,000050,2011/12,348136369,1352324332,-1131177,-1131177,138673371,308454057
(주)경방,000050,2012/12,333620804,1335039930,-7910168,-7910168,123685731,324064120
(주)경방,000050,2013/12,347189559,1296989142,14574395,14574395,103410904,306515477
(주)경방,000050,2014/12,329036023,1301841379,11488471,11488471,101229398,307855729
(주)경방,000050,2015/12,357628146,1318643312,16692163,16692163,108093423,325770660
(주)경방,000050,2016/12,377445013,1301910960,29474988,29474988,106002223,315500908
(주)경방,000050,2017/12,360788750,1274042237,25315361,25315361,90254697,310601150
(주)경방,000050,2018/12,351438926,1301792841,20189241,20189241,120711492,285829683
(주)경방,000050,2019/12,343892085,1370742491,43621631,43621631,264861016,145683128
(주)경보제약,214390,2010/12,,,,,,
(주)경보제약,214390,2011/12,,,,,,
(주)경보제약,214390,2012/12,,,,,,
(주)경보제약,214390,2013/12,,,,,,
(주)경보제약,214390,2014/12,,,,,,
(주)경보제약,214390,2015/12,,,,,,
(주)경보제약,214390,2016/12,,,,,,
(주)경보제약,214390,2017/12,,,,,,
(주)경보제약,214390,2018/12,,,,,,
(주)경보제약,214390,2019/12,,,,,,
(주)경인양행,012610,2010/12,267600679,321754900,8279011,8279011,168261862,134619969
(주)경인양행,012610,2011/12,233095049,319596954,2886360,2886360,166259207,136165573
(주)경인양행,012610,2012/12,218604655,287452678,2093491,2093491,146242797,124092900
(주)경인양행,012610,2013/12,260808400,316944796,10215710,10215710,175887375,127667556
(주)경인양행,012610,2014/12,277181095,313039125,10148247,10148248,164606526,135555605
(주)경인양행,012610,2015/12,263163677,326687437,3670895,3670895,176664098,136115404
(주)경인양행,012610,2016/12,274873817,344298515,6837522,6837522,191409058,137784128
(주)경인양행,012610,2017/12,299987729,357951470,4779249,4779249,193184742,149692038
(주)경인양행,012610,2018/12,331102011,412996589,13801882,13801882,234817064,155376235
(주)경인양행,012610,2019/12,358802386,472081003,16372880,16372880,251884675,194110502
(주)고려시멘트,198440,2014/12,,,,,,
(주)고려시멘트,198440,2015/12,,,,,,
(주)고려시멘트,198440,2016/12,,,,,,
(주)고려시멘트,198440,2017/12,,,,,,
(주)고려시멘트,198440,2018/12,,,,,,
(주)고려시멘트,198440,2019/12,,,,,,
(주)고바이오랩,348150,2019/12,576519,35321574,-44066665,-44066665,34655204,283298
(주)고영테크놀러지,098460,2010/12,72956931,70677514,16267441,16267441,50984220,12821847
(주)고영테크놀러지,098460,2011/12,86130810,87006201,15634438,15634438,63304178,15041656
(주)고영테크놀러지,098460,2012/12,107841666,103351965,15221925,15221925,77857574,15547786
(주)고영테크놀러지,098460,2013/12,111902729,120951617,13933294,13933294,94895999,14825443
(주)고영테크놀러지,098460,2014/12,142840131,141720465,22111066,22111066,108649874,19958721
(주)고영테크놀러지,098460,2015/12,145904431,158857627,23530903,23530903,121834639,19713468
(주)고영테크놀러지,098460,2016/12,171793841,195121241,29723733,29723733,154891864,23842197
(주)고영테크놀러지,098460,2017/12,203368626,205207385,26734105,26734105,161356541,25337806
(주)고영테크놀러지,098460,2018/12,238208865,279059436,42309672,42309672,227563739,33117594
(주)고영테크놀러지,098460,2019/12,222057035,305481184,29559680,29559680,225797248,37283940
(주)골드앤에스,035290,2010/12,50487261,45047091,-8960678,-8960678,17640913,1360888
(주)골드앤에스,035290,2011/12,47522791,46677146,1002287,1002287,23477041,1027834
(주)골드앤에스,035290,2012/12,43889087,51950606,-6467495,-6467495,26661256,988045
(주)골드앤에스,035290,2013/12,39548810,51442505,-16837473,-16837473,15792977,23605894
(주)골드앤에스,035290,2014/12,31287203,46528474,-9319175,-8691183,15072221,22767398
(주)골드앤에스,035290,2015/12,22197935,24102094,-9502547,-4391651,15364121,330937
(주)골드앤에스,035290,2016/12,15893494,18671644,390367,390367,8660668,204183
(주)골드앤에스,035290,2017/12,12802035,17173934,-7975875,-8195875,10831000,338535
(주)골드앤에스,035290,2018/12,8680452,42472631,-4380399,-4380399,21031370,11191043
(주)골드앤에스,035290,2019/12,7642733,16096170,-24883278,-24623306,3910189,3722968
(주)골드퍼시픽,038530,2010/12,,,,,,
(주)골드퍼시픽,038530,2011/12,,,,,,
(주)골드퍼시픽,038530,2012/12,,,,,,
(주)골드퍼시픽,038530,2013/12,7167832,33687572,-9381353,-9381353,16708814,9882790
(주)골드퍼시픽,038530,2014/12,16486257,41948832,-7390326,-7390326,23894969,9909463
(주)골드퍼시픽,038530,2015/12,18635305,28573328,-10215946,-10215946,14304863,2580222
(주)골드퍼시픽,038530,2016/12,,,,,,
(주)골드퍼시픽,038530,2017/12,,,,,,
(주)골드퍼시픽,038530,2018/12,5708281,37825442,-4471963,-4471963,23990386,94653
(주)골드퍼시픽,038530,2019/12,,,,,,
(주)골프존,215000,2015/12,201560389,178132253,36533155,36533155,81295773,77871991
(주)골프존,215000,2016/12,216964342,187914226,36536248,36536248,89781733,73081406
(주)골프존,215000,2017/12,200105321,253672419,79392004,79494700,160591890,71606171
(주)골프존,215000,2018/12,198705194,254057808,20419449,20419449,145265354,83642928
(주)골프존,215000,2019/12,247018099,312587283,16213888,16213888,81730468,115927449
(주)골프존뉴딘홀딩스,121440,2010/12,190299946,188175926,68157693,68157693,140978659,13405302
(주)골프존뉴딘홀딩스,121440,2011/12,215793737,378054302,46487063,46487063,276277197,52306467
(주)골프존뉴딘홀딩스,121440,2012/12,289629366,540922890,73354594,73354594,267312187,198231941
(주)골프존뉴딘홀딩스,121440,2013/12,365126358,637840057,2803470,2803470,280228001,222285916
(주)골프존뉴딘홀딩스,121440,2014/12,429589619,762037240,79234486,79234486,176744598,454297223
