회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS)(천원),자산(*)(IFRS)(천원),당기순이익(손실)(IFRS)(천원),계속영업이익(손실)(IFRS)(천원),유동자산(*)(IFRS)(천원),유형자산(*)(IFRS)(천원)
(주)광무,029480,2019/12,25244176,57156720,-6275093,-6275093,33233586,2004796
(주)광주신세계,037710,2010/12,207799414,327433751,44346558,44346558,207062963,96606141
(주)광주신세계,037710,2011/12,219613514,380753715,52281979,52281979,260854658,95759237
(주)광주신세계,037710,2012/12,213803173,430662968,53769536,53769536,287723501,118344439
(주)광주신세계,037710,2013/12,206606675,656355808,48569715,48569715,25873334,113548429
(주)광주신세계,037710,2014/12,204820461,652758688,42236355,42236355,24561635,112432843
(주)광주신세계,037710,2015/12,205331892,659495158,45901413,45901413,33510638,111688001
(주)광주신세계,037710,2016/12,210423594,655502726,45554028,45554028,32426270,109768330
(주)광주신세계,037710,2017/12,209647360,655018971,47846191,47846191,33243825,108947528
(주)광주신세계,037710,2018/12,135213362,696204982,45093180,43268970,77504431,107893227
(주)광주신세계,037710,2019/12,154879496,752423111,47668959,47668959,103160925,255366762
(주)구영테크,053270,2010/12,60777103,87520550,3918238,3918238,34873110,29474962
(주)구영테크,053270,2011/12,62527619,94940916,985788,985788,40821654,26073978
(주)구영테크,053270,2012/12,65451015,109440531,1250176,1250176,48964877,31959958
(주)구영테크,053270,2013/12,76282590,97549406,1137402,1137402,36391962,32040532
(주)구영테크,053270,2014/12,77799749,101546298,1326679,1326679,40628726,31369668
(주)구영테크,053270,2015/12,87109177,102761141,3196300,3196300,41055597,33224421
